flight_number,date,STD,ATD,destination,aircraft,airline,airline_code,STD_minutes,ATD_minutes,departure_delay,scheduled_hour,day_of_week,is_weekend,delay_category,is_peak_hour,route_type
6E1656,2025-08-18,23:00,23:14,Chennai (MAA),B737,IndiGo,"('6E', 'IndiGo', 0.4)",1380,1394,14,23,0,False,On Time,False,Domestic
SG4380,2025-08-18,08:15,08:49,Delhi (DEL),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",495,529,34,8,0,False,Major Delay,True,Domestic
AI6625,2025-08-18,18:45,19:14,Pune (PNQ),A321,Air India,"('AI', 'Air India', 0.3)",1125,1154,29,18,0,False,Minor Delay,True,Domestic
6E9880,2025-08-18,14:15,14:19,Delhi (DEL),B777,IndiGo,"('6E', 'IndiGo', 0.4)",855,859,4,14,0,False,On Time,False,Domestic
AI3866,2025-08-18,10:30,10:30,Delhi (DEL),A350,Air India,"('AI', 'Air India', 0.3)",630,630,0,10,0,False,Early,False,Domestic
UK8430,2025-08-18,05:15,05:24,Kolkata (CCU),B737,Vistara,"('UK', 'Vistara', 0.1)",315,324,9,5,0,False,On Time,False,Domestic
AI6902,2025-08-18,21:45,21:52,Goa (GOI),B737,Air India,"('AI', 'Air India', 0.3)",1305,1312,7,21,0,False,On Time,False,Domestic
6E6508,2025-08-18,08:00,08:20,Goa (GOI),B738,IndiGo,"('6E', 'IndiGo', 0.4)",480,500,20,8,0,False,Minor Delay,True,Domestic
UK5022,2025-08-18,23:15,23:46,Delhi (DEL),B787,Vistara,"('UK', 'Vistara', 0.1)",1395,1426,31,23,0,False,Major Delay,False,Domestic
SG8694,2025-08-18,12:30,12:51,Kolkata (CCU),B737,SpiceJet,"('SG', 'SpiceJet', 0.12)",750,771,21,12,0,False,Minor Delay,False,Domestic
6E9060,2025-08-18,07:00,07:13,Chennai (MAA),A320,IndiGo,"('6E', 'IndiGo', 0.4)",420,433,13,7,0,False,On Time,True,Domestic
AI5412,2025-08-18,23:00,23:04,Bengaluru (BLR),A350,Air India,"('AI', 'Air India', 0.3)",1380,1384,4,23,0,False,On Time,False,Domestic
UK2266,2025-08-18,16:45,17:11,Pune (PNQ),B787,Vistara,"('UK', 'Vistara', 0.1)",1005,1031,26,16,0,False,Minor Delay,False,Domestic
AI5078,2025-08-18,16:15,16:30,Goa (GOI),B738,Air India,"('AI', 'Air India', 0.3)",975,990,15,16,0,False,On Time,False,Domestic
AI9224,2025-08-18,07:30,08:01,Chennai (MAA),B738,Air India,"('AI', 'Air India', 0.3)",450,481,31,7,0,False,Major Delay,True,Domestic
IX2283,2025-08-18,23:15,23:31,Chennai (MAA),B738,Air India Express,"('IX', 'Air India Express', 0.05)",1395,1411,16,23,0,False,Minor Delay,False,Domestic
6E1407,2025-08-18,07:45,08:05,Ahmedabad (AMD),B777,IndiGo,"('6E', 'IndiGo', 0.4)",465,485,20,7,0,False,Minor Delay,True,Domestic
UK8518,2025-08-18,22:15,22:15,Ahmedabad (AMD),A321,Vistara,"('UK', 'Vistara', 0.1)",1335,1335,0,22,0,False,Early,False,Domestic
AI1832,2025-08-18,07:15,07:28,Bengaluru (BLR),B777,Air India,"('AI', 'Air India', 0.3)",435,448,13,7,0,False,On Time,True,Domestic
AI9024,2025-08-18,12:00,12:12,Delhi (DEL),ATR72,Air India,"('AI', 'Air India', 0.3)",720,732,12,12,0,False,On Time,False,Domestic
6E5423,2025-08-18,05:30,05:33,Chennai (MAA),B787,IndiGo,"('6E', 'IndiGo', 0.4)",330,333,3,5,0,False,On Time,False,Domestic
IX8218,2025-08-18,19:00,19:28,Chennai (MAA),B777,Air India Express,"('IX', 'Air India Express', 0.05)",1140,1168,28,19,0,False,Minor Delay,True,Domestic
AI1237,2025-08-18,05:45,06:02,Delhi (DEL),B737,Air India,"('AI', 'Air India', 0.3)",345,362,17,5,0,False,Minor Delay,False,Domestic
AI5976,2025-08-18,11:30,11:59,Bangkok (BKK),B737,Air India,"('AI', 'Air India', 0.3)",690,719,29,11,0,False,Minor Delay,False,International
AI9781,2025-08-18,13:15,13:19,Chennai (MAA),A320,Air India,"('AI', 'Air India', 0.3)",795,799,4,13,0,False,On Time,False,Domestic
AI3458,2025-08-18,11:30,11:50,Hyderabad (HYD),A320,Air India,"('AI', 'Air India', 0.3)",690,710,20,11,0,False,Minor Delay,False,Domestic
6E3025,2025-08-18,14:30,14:33,Kolkata (CCU),A320,IndiGo,"('6E', 'IndiGo', 0.4)",870,873,3,14,0,False,On Time,False,Domestic
AI9174,2025-08-18,10:45,10:45,Delhi (DEL),A320,Air India,"('AI', 'Air India', 0.3)",645,645,0,10,0,False,Early,False,Domestic
AI8502,2025-08-18,19:15,19:15,Singapore (SIN),A350,Air India,"('AI', 'Air India', 0.3)",1155,1155,0,19,0,False,Early,True,International
AI4135,2025-08-18,18:30,18:58,Bangkok (BKK),B738,Air India,"('AI', 'Air India', 0.3)",1110,1138,28,18,0,False,Minor Delay,True,International
6E7145,2025-08-18,05:45,06:10,Chennai (MAA),A350,IndiGo,"('6E', 'IndiGo', 0.4)",345,370,25,5,0,False,Minor Delay,False,Domestic
6E9873,2025-08-18,12:45,12:57,Dubai (DXB),A320,IndiGo,"('6E', 'IndiGo', 0.4)",765,777,12,12,0,False,On Time,False,International
6E5197,2025-08-18,07:45,08:17,Delhi (DEL),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",465,497,32,7,0,False,Major Delay,True,Domestic
6E5648,2025-08-18,10:45,11:04,Delhi (DEL),B738,IndiGo,"('6E', 'IndiGo', 0.4)",645,664,19,10,0,False,Minor Delay,False,Domestic
UK3576,2025-08-18,18:45,19:19,Bengaluru (BLR),B787,Vistara,"('UK', 'Vistara', 0.1)",1125,1159,34,18,0,False,Major Delay,True,Domestic
UK6607,2025-08-18,08:15,08:34,Bengaluru (BLR),ATR72,Vistara,"('UK', 'Vistara', 0.1)",495,514,19,8,0,False,Minor Delay,True,Domestic
6E2847,2025-08-18,12:30,12:41,Cochin (COK),B737,IndiGo,"('6E', 'IndiGo', 0.4)",750,761,11,12,0,False,On Time,False,Domestic
6E9145,2025-08-18,16:45,16:55,London (LHR),A350,IndiGo,"('6E', 'IndiGo', 0.4)",1005,1015,10,16,0,False,On Time,False,International
6E5978,2025-08-18,18:30,18:57,Bengaluru (BLR),B787,IndiGo,"('6E', 'IndiGo', 0.4)",1110,1137,27,18,0,False,Minor Delay,True,Domestic
IX8798,2025-08-18,05:30,05:50,Bengaluru (BLR),B787,Air India Express,"('IX', 'Air India Express', 0.05)",330,350,20,5,0,False,Minor Delay,False,Domestic
UK9019,2025-08-18,10:30,10:47,Delhi (DEL),B777,Vistara,"('UK', 'Vistara', 0.1)",630,647,17,10,0,False,Minor Delay,False,Domestic
6E6849,2025-08-18,15:15,15:15,Jaipur (JAI),B738,IndiGo,"('6E', 'IndiGo', 0.4)",915,915,0,15,0,False,Early,False,Domestic
AI2627,2025-08-18,09:15,09:45,London (LHR),A350,Air India,"('AI', 'Air India', 0.3)",555,585,30,9,0,False,Minor Delay,True,International
QP9439,2025-08-18,20:45,21:12,Chennai (MAA),ATR72,Akasa Air,"('QP', 'Akasa Air', 0.03)",1245,1272,27,20,0,False,Minor Delay,True,Domestic
6E5435,2025-08-18,10:30,10:45,Bengaluru (BLR),A350,IndiGo,"('6E', 'IndiGo', 0.4)",630,645,15,10,0,False,On Time,False,Domestic
6E2664,2025-08-18,23:15,23:15,Kolkata (CCU),A320,IndiGo,"('6E', 'IndiGo', 0.4)",1395,1395,0,23,0,False,Early,False,Domestic
6E6961,2025-08-18,06:15,06:50,Bangkok (BKK),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",375,410,35,6,0,False,Major Delay,True,International
UK1079,2025-08-18,21:30,21:47,Delhi (DEL),B737,Vistara,"('UK', 'Vistara', 0.1)",1290,1307,17,21,0,False,Minor Delay,False,Domestic
SG7900,2025-08-18,10:30,10:36,Goa (GOI),B737,SpiceJet,"('SG', 'SpiceJet', 0.12)",630,636,6,10,0,False,On Time,False,Domestic
6E2018,2025-08-18,23:00,23:00,Delhi (DEL),B737,IndiGo,"('6E', 'IndiGo', 0.4)",1380,1380,0,23,0,False,Early,False,Domestic
UK1285,2025-08-18,23:45,00:08,Kolkata (CCU),ATR72,Vistara,"('UK', 'Vistara', 0.1)",1425,8,-1417,23,0,False,Early,False,Domestic
6E2815,2025-08-18,20:15,20:39,Delhi (DEL),B737,IndiGo,"('6E', 'IndiGo', 0.4)",1215,1239,24,20,0,False,Minor Delay,True,Domestic
UK7847,2025-08-18,17:15,17:43,Delhi (DEL),B737,Vistara,"('UK', 'Vistara', 0.1)",1035,1063,28,17,0,False,Minor Delay,True,Domestic
QP5734,2025-08-18,13:15,13:15,Singapore (SIN),B777,Akasa Air,"('QP', 'Akasa Air', 0.03)",795,795,0,13,0,False,Early,False,International
UK6382,2025-08-18,15:00,15:23,Jaipur (JAI),B738,Vistara,"('UK', 'Vistara', 0.1)",900,923,23,15,0,False,Minor Delay,False,Domestic
6E5535,2025-08-18,06:15,07:09,Dubai (DXB),A321,IndiGo,"('6E', 'IndiGo', 0.4)",375,429,54,6,0,False,Major Delay,True,International
6E1289,2025-08-18,19:00,19:38,Delhi (DEL),B787,IndiGo,"('6E', 'IndiGo', 0.4)",1140,1178,38,19,0,False,Major Delay,True,Domestic
AI3573,2025-08-18,05:45,05:47,Delhi (DEL),B738,Air India,"('AI', 'Air India', 0.3)",345,347,2,5,0,False,On Time,False,Domestic
6E2716,2025-08-18,14:45,15:02,Goa (GOI),B737,IndiGo,"('6E', 'IndiGo', 0.4)",885,902,17,14,0,False,Minor Delay,False,Domestic
6E4734,2025-08-18,12:30,12:32,Bengaluru (BLR),B777,IndiGo,"('6E', 'IndiGo', 0.4)",750,752,2,12,0,False,On Time,False,Domestic
SG8744,2025-08-18,06:30,07:02,Goa (GOI),B787,SpiceJet,"('SG', 'SpiceJet', 0.12)",390,422,32,6,0,False,Major Delay,True,Domestic
AI7927,2025-08-18,22:15,22:32,Delhi (DEL),A321,Air India,"('AI', 'Air India', 0.3)",1335,1352,17,22,0,False,Minor Delay,False,Domestic
SG4004,2025-08-18,21:00,21:13,Delhi (DEL),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",1260,1273,13,21,0,False,On Time,False,Domestic
AI9492,2025-08-18,15:30,15:45,Hyderabad (HYD),A350,Air India,"('AI', 'Air India', 0.3)",930,945,15,15,0,False,On Time,False,Domestic
6E3837,2025-08-18,23:30,23:41,Delhi (DEL),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",1410,1421,11,23,0,False,On Time,False,Domestic
AI2720,2025-08-18,21:45,21:48,Bengaluru (BLR),B737,Air India,"('AI', 'Air India', 0.3)",1305,1308,3,21,0,False,On Time,False,Domestic
AI9772,2025-08-18,07:15,07:26,Pune (PNQ),B737,Air India,"('AI', 'Air India', 0.3)",435,446,11,7,0,False,On Time,True,Domestic
UK3180,2025-08-18,13:45,13:52,Hyderabad (HYD),A320,Vistara,"('UK', 'Vistara', 0.1)",825,832,7,13,0,False,On Time,False,Domestic
AI3208,2025-08-18,05:30,05:52,Bengaluru (BLR),A320,Air India,"('AI', 'Air India', 0.3)",330,352,22,5,0,False,Minor Delay,False,Domestic
SG2867,2025-08-18,09:15,09:15,Chennai (MAA),A350,SpiceJet,"('SG', 'SpiceJet', 0.12)",555,555,0,9,0,False,Early,True,Domestic
6E9839,2025-08-18,10:00,10:21,Bengaluru (BLR),A350,IndiGo,"('6E', 'IndiGo', 0.4)",600,621,21,10,0,False,Minor Delay,False,Domestic
AI4800,2025-08-18,20:00,21:03,Delhi (DEL),A321,Air India,"('AI', 'Air India', 0.3)",1200,1263,63,20,0,False,Severe Delay,True,Domestic
QP1571,2025-08-18,07:45,08:12,Chennai (MAA),A320,Akasa Air,"('QP', 'Akasa Air', 0.03)",465,492,27,7,0,False,Minor Delay,True,Domestic
UK5352,2025-08-18,21:00,21:08,Delhi (DEL),A350,Vistara,"('UK', 'Vistara', 0.1)",1260,1268,8,21,0,False,On Time,False,Domestic
6E8091,2025-08-18,17:30,17:56,Kolkata (CCU),A350,IndiGo,"('6E', 'IndiGo', 0.4)",1050,1076,26,17,0,False,Minor Delay,True,Domestic
6E8836,2025-08-18,07:15,07:43,Hyderabad (HYD),A350,IndiGo,"('6E', 'IndiGo', 0.4)",435,463,28,7,0,False,Minor Delay,True,Domestic
6E5359,2025-08-18,18:00,18:05,Ahmedabad (AMD),B787,IndiGo,"('6E', 'IndiGo', 0.4)",1080,1085,5,18,0,False,On Time,True,Domestic
6E8570,2025-08-18,13:30,13:45,Chennai (MAA),B738,IndiGo,"('6E', 'IndiGo', 0.4)",810,825,15,13,0,False,On Time,False,Domestic
IX9018,2025-08-18,18:30,19:15,Chennai (MAA),A321,Air India Express,"('IX', 'Air India Express', 0.05)",1110,1155,45,18,0,False,Major Delay,True,Domestic
AI2425,2025-08-18,07:45,08:05,Delhi (DEL),B737,Air India,"('AI', 'Air India', 0.3)",465,485,20,7,0,False,Minor Delay,True,Domestic
QP2963,2025-08-18,21:45,22:00,Goa (GOI),B737,Akasa Air,"('QP', 'Akasa Air', 0.03)",1305,1320,15,21,0,False,On Time,False,Domestic
UK4077,2025-08-18,08:30,08:40,Singapore (SIN),ATR72,Vistara,"('UK', 'Vistara', 0.1)",510,520,10,8,0,False,On Time,True,International
AI3974,2025-08-18,15:45,16:01,Hyderabad (HYD),A320,Air India,"('AI', 'Air India', 0.3)",945,961,16,15,0,False,Minor Delay,False,Domestic
SG2135,2025-08-18,16:45,16:55,Delhi (DEL),A350,SpiceJet,"('SG', 'SpiceJet', 0.12)",1005,1015,10,16,0,False,On Time,False,Domestic
IX2329,2025-08-18,07:30,08:04,Bengaluru (BLR),A320,Air India Express,"('IX', 'Air India Express', 0.05)",450,484,34,7,0,False,Major Delay,True,Domestic
6E3513,2025-08-18,06:15,06:36,Kolkata (CCU),A321,IndiGo,"('6E', 'IndiGo', 0.4)",375,396,21,6,0,False,Minor Delay,True,Domestic
6E1723,2025-08-18,09:00,09:32,Hyderabad (HYD),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",540,572,32,9,0,False,Major Delay,True,Domestic
AI3406,2025-08-18,22:00,22:01,Pune (PNQ),A320,Air India,"('AI', 'Air India', 0.3)",1320,1321,1,22,0,False,On Time,False,Domestic
6E9565,2025-08-18,13:45,13:45,Delhi (DEL),B738,IndiGo,"('6E', 'IndiGo', 0.4)",825,825,0,13,0,False,Early,False,Domestic
6E4175,2025-08-18,20:00,20:34,Delhi (DEL),B787,IndiGo,"('6E', 'IndiGo', 0.4)",1200,1234,34,20,0,False,Major Delay,True,Domestic
AI6920,2025-08-18,05:45,05:51,Chennai (MAA),B737,Air India,"('AI', 'Air India', 0.3)",345,351,6,5,0,False,On Time,False,Domestic
IX4009,2025-08-18,06:30,06:42,Chennai (MAA),ATR72,Air India Express,"('IX', 'Air India Express', 0.05)",390,402,12,6,0,False,On Time,True,Domestic
AI2988,2025-08-18,08:45,09:23,Goa (GOI),A320,Air India,"('AI', 'Air India', 0.3)",525,563,38,8,0,False,Major Delay,True,Domestic
IX3344,2025-08-18,23:00,23:00,Hyderabad (HYD),B777,Air India Express,"('IX', 'Air India Express', 0.05)",1380,1380,0,23,0,False,Early,False,Domestic
AI9246,2025-08-18,09:15,09:40,Delhi (DEL),B787,Air India,"('AI', 'Air India', 0.3)",555,580,25,9,0,False,Minor Delay,True,Domestic
6E7759,2025-08-18,09:00,09:19,Pune (PNQ),B777,IndiGo,"('6E', 'IndiGo', 0.4)",540,559,19,9,0,False,Minor Delay,True,Domestic
AI8984,2025-08-18,22:30,22:37,Goa (GOI),B738,Air India,"('AI', 'Air India', 0.3)",1350,1357,7,22,0,False,On Time,False,Domestic
SG9751,2025-08-18,14:45,14:45,Delhi (DEL),A350,SpiceJet,"('SG', 'SpiceJet', 0.12)",885,885,0,14,0,False,Early,False,Domestic
AI3585,2025-08-18,17:45,18:09,Delhi (DEL),ATR72,Air India,"('AI', 'Air India', 0.3)",1065,1089,24,17,0,False,Minor Delay,True,Domestic
6E5144,2025-08-18,06:30,07:00,Ahmedabad (AMD),B787,IndiGo,"('6E', 'IndiGo', 0.4)",390,420,30,6,0,False,Minor Delay,True,Domestic
IX9836,2025-08-18,06:30,07:03,Ahmedabad (AMD),B737,Air India Express,"('IX', 'Air India Express', 0.05)",390,423,33,6,0,False,Major Delay,True,Domestic
SG8290,2025-08-18,06:45,07:17,Hyderabad (HYD),A320,SpiceJet,"('SG', 'SpiceJet', 0.12)",405,437,32,6,0,False,Major Delay,True,Domestic
6E4118,2025-08-18,12:15,12:15,Kolkata (CCU),B737,IndiGo,"('6E', 'IndiGo', 0.4)",735,735,0,12,0,False,Early,False,Domestic
AI3949,2025-08-18,14:00,14:27,Goa (GOI),ATR72,Air India,"('AI', 'Air India', 0.3)",840,867,27,14,0,False,Minor Delay,False,Domestic
AI2906,2025-08-18,15:45,15:54,Delhi (DEL),ATR72,Air India,"('AI', 'Air India', 0.3)",945,954,9,15,0,False,On Time,False,Domestic
AI1750,2025-08-18,12:15,12:26,Kolkata (CCU),ATR72,Air India,"('AI', 'Air India', 0.3)",735,746,11,12,0,False,On Time,False,Domestic
6E4036,2025-08-18,15:30,15:49,Bengaluru (BLR),B737,IndiGo,"('6E', 'IndiGo', 0.4)",930,949,19,15,0,False,Minor Delay,False,Domestic
SG6065,2025-08-18,20:30,20:55,Bengaluru (BLR),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",1230,1255,25,20,0,False,Minor Delay,True,Domestic
6E9626,2025-08-18,08:00,08:27,Chennai (MAA),B787,IndiGo,"('6E', 'IndiGo', 0.4)",480,507,27,8,0,False,Minor Delay,True,Domestic
SG5636,2025-08-18,21:00,21:12,Chennai (MAA),ATR72,SpiceJet,"('SG', 'SpiceJet', 0.12)",1260,1272,12,21,0,False,On Time,False,Domestic
SG1354,2025-08-18,14:30,14:30,Pune (PNQ),ATR72,SpiceJet,"('SG', 'SpiceJet', 0.12)",870,870,0,14,0,False,Early,False,Domestic
AI6333,2025-08-18,11:00,11:09,Bengaluru (BLR),A350,Air India,"('AI', 'Air India', 0.3)",660,669,9,11,0,False,On Time,False,Domestic
AI6211,2025-08-18,21:00,21:07,Jaipur (JAI),A320,Air India,"('AI', 'Air India', 0.3)",1260,1267,7,21,0,False,On Time,False,Domestic
SG8197,2025-08-18,21:30,21:30,Bengaluru (BLR),B738,SpiceJet,"('SG', 'SpiceJet', 0.12)",1290,1290,0,21,0,False,Early,False,Domestic
AI7558,2025-08-18,12:30,12:38,Chennai (MAA),B777,Air India,"('AI', 'Air India', 0.3)",750,758,8,12,0,False,On Time,False,Domestic
AI4073,2025-08-18,11:15,11:27,Pune (PNQ),A350,Air India,"('AI', 'Air India', 0.3)",675,687,12,11,0,False,On Time,False,Domestic
AI6475,2025-08-18,15:00,15:10,Chennai (MAA),ATR72,Air India,"('AI', 'Air India', 0.3)",900,910,10,15,0,False,On Time,False,Domestic
AI9768,2025-08-18,08:30,09:06,Ahmedabad (AMD),A321,Air India,"('AI', 'Air India', 0.3)",510,546,36,8,0,False,Major Delay,True,Domestic
6E2709,2025-08-18,13:45,13:58,Chennai (MAA),B738,IndiGo,"('6E', 'IndiGo', 0.4)",825,838,13,13,0,False,On Time,False,Domestic
6E7957,2025-08-18,22:15,22:22,Chennai (MAA),B777,IndiGo,"('6E', 'IndiGo', 0.4)",1335,1342,7,22,0,False,On Time,False,Domestic
6E7368,2025-08-18,14:30,14:30,Bengaluru (BLR),A321,IndiGo,"('6E', 'IndiGo', 0.4)",870,870,0,14,0,False,Early,False,Domestic
6E4388,2025-08-18,15:15,15:19,Delhi (DEL),B777,IndiGo,"('6E', 'IndiGo', 0.4)",915,919,4,15,0,False,On Time,False,Domestic
6E5171,2025-08-18,07:45,08:28,Bengaluru (BLR),A350,IndiGo,"('6E', 'IndiGo', 0.4)",465,508,43,7,0,False,Major Delay,True,Domestic
QP1839,2025-08-18,08:00,08:26,Ahmedabad (AMD),ATR72,Akasa Air,"('QP', 'Akasa Air', 0.03)",480,506,26,8,0,False,Minor Delay,True,Domestic
SG9014,2025-08-18,07:45,07:45,Ahmedabad (AMD),B737,SpiceJet,"('SG', 'SpiceJet', 0.12)",465,465,0,7,0,False,Early,True,Domestic
6E5949,2025-08-18,10:00,10:32,Delhi (DEL),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",600,632,32,10,0,False,Major Delay,False,Domestic
6E3447,2025-08-18,19:00,19:36,Delhi (DEL),A320,IndiGo,"('6E', 'IndiGo', 0.4)",1140,1176,36,19,0,False,Major Delay,True,Domestic
6E9460,2025-08-18,14:45,14:46,Delhi (DEL),A320,IndiGo,"('6E', 'IndiGo', 0.4)",885,886,1,14,0,False,On Time,False,Domestic
AI6317,2025-08-18,11:15,11:21,Goa (GOI),ATR72,Air India,"('AI', 'Air India', 0.3)",675,681,6,11,0,False,On Time,False,Domestic
SG3777,2025-08-18,16:30,16:48,Kolkata (CCU),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",990,1008,18,16,0,False,Minor Delay,False,Domestic
6E8107,2025-08-18,06:15,06:50,Bengaluru (BLR),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",375,410,35,6,0,False,Major Delay,True,Domestic
6E4759,2025-08-18,22:45,22:57,Pune (PNQ),B787,IndiGo,"('6E', 'IndiGo', 0.4)",1365,1377,12,22,0,False,On Time,False,Domestic
SG8269,2025-08-18,10:00,10:18,Pune (PNQ),A350,SpiceJet,"('SG', 'SpiceJet', 0.12)",600,618,18,10,0,False,Minor Delay,False,Domestic
SG9627,2025-08-18,19:15,19:15,Chennai (MAA),A320,SpiceJet,"('SG', 'SpiceJet', 0.12)",1155,1155,0,19,0,False,Early,True,Domestic
QP8397,2025-08-18,11:30,11:39,Kolkata (CCU),B737,Akasa Air,"('QP', 'Akasa Air', 0.03)",690,699,9,11,0,False,On Time,False,Domestic
6E4049,2025-08-18,14:00,14:04,Delhi (DEL),A320,IndiGo,"('6E', 'IndiGo', 0.4)",840,844,4,14,0,False,On Time,False,Domestic
6E4980,2025-08-18,11:15,11:23,Ahmedabad (AMD),A350,IndiGo,"('6E', 'IndiGo', 0.4)",675,683,8,11,0,False,On Time,False,Domestic
AI5721,2025-08-18,20:00,20:11,Delhi (DEL),A350,Air India,"('AI', 'Air India', 0.3)",1200,1211,11,20,0,False,On Time,True,Domestic
SG4342,2025-08-18,19:45,20:25,Cochin (COK),B787,SpiceJet,"('SG', 'SpiceJet', 0.12)",1185,1225,40,19,0,False,Major Delay,True,Domestic
AI4374,2025-08-18,21:00,21:00,Hyderabad (HYD),A320,Air India,"('AI', 'Air India', 0.3)",1260,1260,0,21,0,False,Early,False,Domestic
6E6338,2025-08-18,06:45,07:00,Delhi (DEL),A321,IndiGo,"('6E', 'IndiGo', 0.4)",405,420,15,6,0,False,On Time,True,Domestic
6E1632,2025-08-18,07:30,07:44,Bengaluru (BLR),B738,IndiGo,"('6E', 'IndiGo', 0.4)",450,464,14,7,0,False,On Time,True,Domestic
UK1365,2025-08-18,10:30,10:36,Ahmedabad (AMD),B787,Vistara,"('UK', 'Vistara', 0.1)",630,636,6,10,0,False,On Time,False,Domestic
IX4383,2025-08-18,05:15,05:34,Delhi (DEL),A320,Air India Express,"('IX', 'Air India Express', 0.05)",315,334,19,5,0,False,Minor Delay,False,Domestic
6E9934,2025-08-18,09:30,10:11,Chennai (MAA),A321,IndiGo,"('6E', 'IndiGo', 0.4)",570,611,41,9,0,False,Major Delay,True,Domestic
AI4712,2025-08-18,06:30,06:46,Bengaluru (BLR),B777,Air India,"('AI', 'Air India', 0.3)",390,406,16,6,0,False,Minor Delay,True,Domestic
6E3493,2025-08-18,08:45,08:48,Delhi (DEL),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",525,528,3,8,0,False,On Time,True,Domestic
6E2181,2025-08-18,05:00,05:07,Ahmedabad (AMD),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",300,307,7,5,0,False,On Time,False,Domestic
6E9902,2025-08-18,11:15,11:37,London (LHR),B738,IndiGo,"('6E', 'IndiGo', 0.4)",675,697,22,11,0,False,Minor Delay,False,International
UK7926,2025-08-18,08:00,08:38,Goa (GOI),A320,Vistara,"('UK', 'Vistara', 0.1)",480,518,38,8,0,False,Major Delay,True,Domestic
AI3485,2025-08-18,16:45,17:08,Bengaluru (BLR),B737,Air India,"('AI', 'Air India', 0.3)",1005,1028,23,16,0,False,Minor Delay,False,Domestic
6E4783,2025-08-18,09:30,10:07,Delhi (DEL),B738,IndiGo,"('6E', 'IndiGo', 0.4)",570,607,37,9,0,False,Major Delay,True,Domestic
UK8874,2025-08-18,16:15,16:42,Chennai (MAA),A320,Vistara,"('UK', 'Vistara', 0.1)",975,1002,27,16,0,False,Minor Delay,False,Domestic
AI9218,2025-08-18,17:45,18:03,Delhi (DEL),B737,Air India,"('AI', 'Air India', 0.3)",1065,1083,18,17,0,False,Minor Delay,True,Domestic
SG4793,2025-08-18,06:00,06:07,Singapore (SIN),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",360,367,7,6,0,False,On Time,True,International
6E2537,2025-08-18,22:45,22:55,Chennai (MAA),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",1365,1375,10,22,0,False,On Time,False,Domestic
SG7100,2025-08-18,06:15,06:36,Delhi (DEL),A350,SpiceJet,"('SG', 'SpiceJet', 0.12)",375,396,21,6,0,False,Minor Delay,True,Domestic
6E2397,2025-08-18,11:15,11:27,Bengaluru (BLR),B787,IndiGo,"('6E', 'IndiGo', 0.4)",675,687,12,11,0,False,On Time,False,Domestic
SG9290,2025-08-18,15:15,15:45,Delhi (DEL),B737,SpiceJet,"('SG', 'SpiceJet', 0.12)",915,945,30,15,0,False,Minor Delay,False,Domestic
AI4060,2025-08-18,09:45,10:24,Ahmedabad (AMD),B738,Air India,"('AI', 'Air India', 0.3)",585,624,39,9,0,False,Major Delay,True,Domestic
IX7563,2025-08-18,22:15,22:32,London (LHR),B777,Air India Express,"('IX', 'Air India Express', 0.05)",1335,1352,17,22,0,False,Minor Delay,False,International
SG7021,2025-08-18,09:45,10:26,Delhi (DEL),B787,SpiceJet,"('SG', 'SpiceJet', 0.12)",585,626,41,9,0,False,Major Delay,True,Domestic
6E6831,2025-08-18,15:30,15:40,Bengaluru (BLR),B738,IndiGo,"('6E', 'IndiGo', 0.4)",930,940,10,15,0,False,On Time,False,Domestic
6E6457,2025-08-18,13:30,13:31,Bengaluru (BLR),A320,IndiGo,"('6E', 'IndiGo', 0.4)",810,811,1,13,0,False,On Time,False,Domestic
AI3565,2025-08-18,23:45,23:56,Delhi (DEL),A320,Air India,"('AI', 'Air India', 0.3)",1425,1436,11,23,0,False,On Time,False,Domestic
SG6420,2025-08-18,18:00,18:30,Bengaluru (BLR),A320,SpiceJet,"('SG', 'SpiceJet', 0.12)",1080,1110,30,18,0,False,Minor Delay,True,Domestic
AI7671,2025-08-18,14:00,14:08,Delhi (DEL),A320,Air India,"('AI', 'Air India', 0.3)",840,848,8,14,0,False,On Time,False,Domestic
AI4662,2025-08-18,13:45,13:45,Bengaluru (BLR),B777,Air India,"('AI', 'Air India', 0.3)",825,825,0,13,0,False,Early,False,Domestic
6E3565,2025-08-18,07:15,07:47,Bengaluru (BLR),B737,IndiGo,"('6E', 'IndiGo', 0.4)",435,467,32,7,0,False,Major Delay,True,Domestic
6E5431,2025-08-18,21:00,21:13,Chennai (MAA),B777,IndiGo,"('6E', 'IndiGo', 0.4)",1260,1273,13,21,0,False,On Time,False,Domestic
